                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1524,                0.56583,                 0.8241,                0.81823,                0.70491,                0.76046,                0.46047,                 1.0944,                 0.5319,                0.83368,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0999,                0.54551,                  0.819,                0.81232,                0.66912,                0.74614,                0.45807,                 1.0897,                0.53556,                0.83241,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.1198,                0.55059,                 0.8217,                0.94046,                0.68275,                0.77303,                0.45214,                 1.1309,                 0.5412,                0.83516,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.1032,                0.53727,                0.81713,                0.87863,                0.73336,                 0.7821,                0.46715,                 1.0659,                0.51958,                0.83239,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0806,                0.53468,                0.81832,                0.94103,                0.68546,                 0.7763,                0.47606,                 1.0544,                0.51698,                0.82945,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.1027,                0.53327,                0.81669,                0.92645,                0.71461,                0.78151,                0.46925,                 1.0486,                0.51428,                0.82788,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0781,                0.52665,                0.81628,                0.84392,                0.69689,                0.77347,                0.45508,                  1.128,                0.54459,                0.83211,               0.000755,               0.000755,               0.000755
                     42,                 1.1016,                0.53595,                0.81664,                0.80529,                0.67346,                0.73973,                0.44715,                 1.0716,                0.52506,                0.82901,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0736,                0.52598,                0.81692,                0.85311,                 0.7235,                0.76933,                0.46329,                 1.0982,                0.53716,                0.83278,             0.00073025,             0.00073025,             0.00073025
                     44,                 1.0697,                0.52725,                0.81464,                0.84158,                0.69823,                0.76799,                0.45946,                 1.0749,                0.53747,                0.82613,             0.00071788,             0.00071788,             0.00071788
